id,timestamp,numberOfInstances,instanceName,vcpu,cpuUsage,memory,memoryUsage,networkPerformance,storageType,storageSize,costPerHour,target
1,30-09-2023 09:20,7,r5d.xlarge,4,65.653049,32,28.737567,Up to 10 Gigabit,EBS only,174.78,50.3568,1
2,30-11-2023 13:55,5,c5d.2xlarge,8,93.331407,32,58.737712,Up to 10 Gigabit,EBS only,200.81,58.2106,1
3,02-05-2023 14:50,10,r5d.xlarge,4,15.150368,32,39.416157,Up to 10 Gigabit,EBS only,17.59,11.5934,0
4,19-12-2023 15:32,2,r5d.xlarge,4,16.925194,32,34.436112,Up to 10 Gigabit,EBS only,187.29,50.0994,0
5,09-01-2023 03:39,6,c5d.4xlarge,16,63.818907,128,69.237174,Up to 10 Gigabit,EBS only,51.26,29.8516,1
6,17-05-2023 11:21,3,m5.2xlarge,8,35.02322,32,44.631431,Up to 10 Gigabit,EBS only,170.58,45.9858,0
7,17-07-2023 06:01,7,r5d.xlarge,4,83.963306,32,51.786627,Up to 10 Gigabit,EBS only,139.78,41.2568,1
8,14-10-2023 08:48,1,r5d.2xlarge,8,95.383857,64,30.624867,Up to 10 Gigabit,EBS only,175.12,46.9352,1
9,16-04-2023 18:59,8,c5d.4xlarge,16,93.800177,128,76.046287,Up to 10 Gigabit,EBS only,229.74,81.7644,1
10,18-11-2023 00:37,3,r5d.xlarge,4,12.309106,32,12.497829,Up to 10 Gigabit,EBS only,244.14,65.5824,0
11,03-06-2023 15:49,7,t3.medium,2,5.837767,4,51.339286,Up to 5 Gigabit,EBS only,259.92,68.0027,1
12,13-07-2023 07:54,10,m5.2xlarge,8,54.687228,32,22.231925,Up to 10 Gigabit,EBS only,220.16,62.6916,1
13,11-11-2023 11:02,1,c5d.4xlarge,16,21.14952,128,63.454576,Up to 10 Gigabit,EBS only,137.08,38.3948,1
14,20-10-2023 04:29,6,r5d.2xlarge,8,35.977217,64,24.367495,Up to 10 Gigabit,EBS only,71.42,26.9932,0
15,29-07-2023 17:11,6,c5d.4xlarge,16,32.2014,128,77.994805,Up to 10 Gigabit,EBS only,95.83,41.4398,1
16,08-08-2023 03:39,8,r5d.2xlarge,8,15.308792,64,42.404227,Up to 10 Gigabit,EBS only,120.3,42.51,0
17,10-09-2023 22:29,6,c5d.4xlarge,16,4.36555,128,65.473344,Up to 10 Gigabit,EBS only,177.53,62.6818,1
18,25-09-2023 10:57,10,r5d.2xlarge,8,6.248392,64,63.595253,Up to 10 Gigabit,EBS only,94.29,38.5554,1
19,26-10-2023 21:44,2,r5d.xlarge,4,14.507343,32,87.721719,Up to 10 Gigabit,EBS only,15.48,5.4288,1
20,11-11-2023 11:03,9,c5d.2xlarge,8,97.405874,32,63.854191,Up to 10 Gigabit,EBS only,207.84,64.8384,1
21,25-06-2023 08:45,2,r5d.2xlarge,8,77.212699,64,84.493665,Up to 10 Gigabit,EBS only,66.87,20.1942,1
22,04-04-2023 01:10,5,m5.2xlarge,8,57.105443,32,60.043207,Up to 10 Gigabit,EBS only,27.5,9.875,1
23,25-10-2023 01:17,5,r5d.2xlarge,8,15.768876,64,98.309482,Up to 10 Gigabit,EBS only,249.44,71.8744,1
24,27-03-2023 21:46,6,t3.medium,2,59.322128,4,75.838252,Up to 5 Gigabit,EBS only,106.46,28.0426,1
25,16-08-2023 00:20,9,c5d.xlarge,4,60.241586,16,88.14183,Up to 10 Gigabit,EBS only,219.43,61.1828,1
26,20-04-2023 08:40,5,t3.xlarge,4,42.165842,16,2.746126,Up to 5 Gigabit,EBS only,30.44,9.1239,0
27,21-06-2023 09:59,1,c5d.xlarge,4,2.705034,16,41.007496,Up to 10 Gigabit,EBS only,74.18,19.7458,0
28,11-07-2023 14:12,9,c5d.xlarge,4,68.789,16,20.917824,Up to 10 Gigabit,EBS only,230.9,64.165,1
29,03-01-2023 03:46,8,r5d.xlarge,4,79.221961,32,95.231116,Up to 10 Gigabit,EBS only,36.85,15.197,1
30,06-01-2023 11:55,9,r5d.xlarge,4,41.468998,32,2.498501,Up to 10 Gigabit,EBS only,79.43,26.9698,0
31,24-06-2023 23:18,4,r5d.xlarge,4,91.324179,32,75.046537,Up to 10 Gigabit,EBS only,244.91,66.4846,1
32,11-03-2023 06:59,2,r5d.2xlarge,8,21.789367,64,93.99839,Up to 10 Gigabit,EBS only,51.27,16.1382,1
33,17-06-2023 00:38,2,r5d.xlarge,4,30.715735,32,19.978815,Up to 10 Gigabit,EBS only,18,6.084,0
34,26-06-2023 11:58,1,m5.2xlarge,8,86.272274,32,27.870261,Up to 10 Gigabit,EBS only,246.8,64.713,1
35,15-10-2023 16:01,6,c5d.4xlarge,16,12.747407,128,54.874385,Up to 10 Gigabit,EBS only,25.28,23.0968,1
36,07-01-2023 08:26,10,m5.2xlarge,8,62.092157,32,91.085937,Up to 10 Gigabit,EBS only,124.31,37.7706,1
